simTime,src,dst,seq,ttl,viaBefore,arrivalNode
687.8396306607,1000,1001,50,14,1001,1001
699.7692306627,1000,1001,51,14,1001,1001
711.6988306647,1000,1001,52,14,1001,1001
726.6284306697,1000,1001,54,14,1001,1001
738.5580306717,1000,1001,55,14,1001,1001
764.4876306877,1000,1001,57,14,1001,1001
788.4172307017,1000,1001,59,14,1001,1001
805.3468307087,1000,1001,60,14,1001,1001
827.2764307207,1000,1001,62,14,1001,1001
843.2060307267,1000,1001,63,14,1001,1001
855.1356307287,1000,1001,64,14,1001,1001
867.0652307307,1000,1001,65,14,1001,1001
878.9948307327,1000,1001,66,14,1001,1001
890.9244307347,1000,1001,67,14,1001,1001
902.8540307367,1000,1001,68,14,1001,1001
914.7836307387,1000,1001,69,14,1001,1001
926.7132307407,1000,1001,70,14,1001,1001
938.6428307427,1000,1001,71,14,1001,1001
950.5724307447,1000,1001,72,14,1001,1001
962.5020307467,1000,1001,73,14,1001,1001
974.4316307487,1000,1001,74,14,1001,1001
1033.3612307977,1000,1001,80,14,1001,1001
1051.2908308057,1000,1001,81,14,1001,1001
1067.2204308117,1000,1001,82,14,1001,1001
1081.1500308157,1000,1001,83,14,1001,1001
1098.0796308227,1000,1001,86,14,1001,1001
1116.0092308307,1000,1001,87,14,1001,1001
1132.9388308377,1000,1001,88,14,1001,1001
1150.8684308457,1000,1001,89,14,1001,1001
1168.7980308537,1000,1001,91,14,1001,1001
1185.7276308607,1000,1001,92,14,1001,1001
1197.6572308627,1000,1001,93,14,1001,1001
1211.5868308667,1000,1001,94,14,1001,1001
1232.5164308777,1000,1001,96,14,1001,1001
1247.4460308827,1000,1001,97,14,1001,1001
1260.3756308857,1000,1001,98,14,1001,1001
1276.3052308917,1000,1001,99,13,1001,1001
