simTime,event,packetSeq,src,dst,currentNode,ttlAfterDecr,chosenVia,nextHopType
164.7881081099,ENQUEUE_FWD,2,1000,1001,26,16,26,UNICAST
165.6120293803,TX_FWD_DATA,2,1000,1001,26,16,19,UNICAST
165.6716856435,RX_FWD_PRE,2,1000,1001,19,16,19,UNICAST
165.6716856435,ENQUEUE_FWD,2,1000,1001,19,15,19,UNICAST
166.6667773897,TX_FWD_DATA,2,1000,1001,19,15,12,UNICAST
166.7264337835,RX_FWD_PRE,2,1000,1001,12,15,12,UNICAST
166.7264337835,ENQUEUE_FWD,2,1000,1001,12,14,12,UNICAST
166.9623754397,TX_FWD_DATA,2,1000,1001,12,14,1001,UNICAST
167.0220304477,RX_DST_PRE,2,1000,1001,1001,14,1001,UNICAST
167.0220304477,DELIVERED,2,1000,1001,1001,14,1001,UNICAST
167.0220304477,TX_ACK,2,1001,1000,1001,20,16777215,BCAST
167.0816834039,ENQUEUE_FWD,2,1001,1000,4,19,16777215,BCAST
167.0816835784,ENQUEUE_FWD,2,1001,1000,11,19,16777215,BCAST
167.0816854297,ENQUEUE_FWD,2,1001,1000,5,19,16777215,BCAST
167.0816854557,ENQUEUE_FWD,2,1001,1000,12,19,16777215,BCAST
167.2202901077,TX_FWD_ACK,2,1001,1000,5,19,12,UNICAST
167.71867466,TX_FWD_ACK,2,1001,1000,4,19,5,UNICAST
167.8319870127,TX_FWD_ACK,2,1001,1000,11,19,18,UNICAST
167.8916430613,ENQUEUE_FWD,2,1001,1000,18,18,18,UNICAST
167.9029081635,TX_FWD_ACK,2,1001,1000,18,18,19,UNICAST
167.9625646897,ENQUEUE_FWD,2,1001,1000,19,17,19,UNICAST
172.6315773907,TX_FWD_ACK,2,1001,1000,19,17,26,UNICAST
172.6912336539,ENQUEUE_FWD,2,1001,1000,26,16,26,UNICAST
172.9271754407,TX_FWD_ACK,2,1001,1000,12,19,19,UNICAST
173.5768293833,TX_FWD_ACK,2,1001,1000,26,16,33,UNICAST
173.6364857656,ENQUEUE_FWD,2,1001,1000,33,15,33,UNICAST
173.6932517316,TX_FWD_ACK,2,1001,1000,33,15,40,UNICAST
173.7529081263,ENQUEUE_FWD,2,1001,1000,40,14,40,UNICAST
174.3816481887,TX_FWD_ACK,2,1001,1000,40,14,41,UNICAST
174.4413043101,ENQUEUE_FWD,2,1001,1000,41,13,41,UNICAST
174.7868479612,TX_FWD_ACK,2,1001,1000,41,13,1000,UNICAST
174.8465058662,ACK_DELIVERED,2,1001,1000,1000,13,1000,UNICAST
180.4018521279,TX_SRC,3,1000,1001,1000,20,16777215,BCAST
180.4615017777,RX_FWD_PRE,3,1000,1001,48,20,16777215,BCAST
180.4615017777,ENQUEUE_FWD,3,1000,1001,48,19,16777215,BCAST
180.4615080663,RX_FWD_PRE,3,1000,1001,47,20,16777215,BCAST
180.4615080663,ENQUEUE_FWD,3,1000,1001,47,19,16777215,BCAST
180.4615100329,RX_FWD_PRE,3,1000,1001,41,20,16777215,BCAST
180.4615100329,ENQUEUE_FWD,3,1000,1001,41,19,16777215,BCAST
180.5405652302,TX_FWD_DATA,3,1000,1001,47,19,40,UNICAST
180.6002214512,RX_FWD_PRE,3,1000,1001,40,19,40,UNICAST
180.6002214512,ENQUEUE_FWD,3,1000,1001,40,18,40,UNICAST
180.7516479622,TX_FWD_DATA,3,1000,1001,41,19,40,UNICAST
180.8113040836,RX_FWD_PRE,3,1000,1001,40,19,40,UNICAST
181.3167665948,TX_FWD_DATA,3,1000,1001,48,19,41,UNICAST
181.3464481907,TX_FWD_DATA,3,1000,1001,40,18,33,UNICAST
190.3666521329,TX_SRC,4,1000,1001,1000,20,16777215,BCAST
190.4263017827,RX_FWD_PRE,4,1000,1001,48,20,16777215,BCAST
190.4263017827,ENQUEUE_FWD,4,1000,1001,48,19,16777215,BCAST
190.4263080713,RX_FWD_PRE,4,1000,1001,47,20,16777215,BCAST
190.4263080713,ENQUEUE_FWD,4,1000,1001,47,19,16777215,BCAST
190.4263100379,RX_FWD_PRE,4,1000,1001,41,20,16777215,BCAST
190.4263100379,ENQUEUE_FWD,4,1000,1001,41,19,16777215,BCAST
190.5053652352,TX_FWD_DATA,4,1000,1001,47,19,40,UNICAST
190.5650214562,RX_FWD_PRE,4,1000,1001,40,19,40,UNICAST
190.5650214562,ENQUEUE_FWD,4,1000,1001,40,18,40,UNICAST
190.7164479672,TX_FWD_DATA,4,1000,1001,41,19,40,UNICAST
190.7761040886,RX_FWD_PRE,4,1000,1001,40,19,40,UNICAST
191.2815665998,TX_FWD_DATA,4,1000,1001,48,19,41,UNICAST
191.3112481957,TX_FWD_DATA,4,1000,1001,40,18,33,UNICAST
191.3709045904,RX_FWD_PRE,4,1000,1001,33,18,33,UNICAST
191.3709045904,ENQUEUE_FWD,4,1000,1001,33,17,33,UNICAST
191.6580517446,TX_FWD_DATA,4,1000,1001,33,17,26,UNICAST
191.7177081269,RX_FWD_PRE,4,1000,1001,26,17,26,UNICAST
191.7177081269,ENQUEUE_FWD,4,1000,1001,26,16,26,UNICAST
192.5416293973,TX_FWD_DATA,4,1000,1001,26,16,19,UNICAST
192.6012856605,RX_FWD_PRE,4,1000,1001,19,16,19,UNICAST
192.6012856605,ENQUEUE_FWD,4,1000,1001,19,15,19,UNICAST
193.5963774067,TX_FWD_DATA,4,1000,1001,19,15,12,UNICAST
193.6560338005,RX_FWD_PRE,4,1000,1001,12,15,12,UNICAST
193.6560338005,ENQUEUE_FWD,4,1000,1001,12,14,12,UNICAST
193.8919754567,TX_FWD_DATA,4,1000,1001,12,14,1001,UNICAST
193.9516304647,RX_DST_PRE,4,1000,1001,1001,14,1001,UNICAST
193.9516304647,DELIVERED,4,1000,1001,1001,14,1001,UNICAST
193.9516304647,TX_ACK,4,1001,1000,1001,20,16777215,BCAST
194.0112834209,ENQUEUE_FWD,4,1001,1000,4,19,16777215,BCAST
194.0112835954,ENQUEUE_FWD,4,1001,1000,11,19,16777215,BCAST
194.0112854467,ENQUEUE_FWD,4,1001,1000,5,19,16777215,BCAST
194.0112854727,ENQUEUE_FWD,4,1001,1000,12,19,16777215,BCAST
194.1850901297,TX_FWD_ACK,4,1001,1000,5,19,12,UNICAST
194.683474682,TX_FWD_ACK,4,1001,1000,4,19,5,UNICAST
194.7967870347,TX_FWD_ACK,4,1001,1000,11,19,18,UNICAST
194.8564430833,ENQUEUE_FWD,4,1001,1000,18,18,18,UNICAST
194.8677081855,TX_FWD_ACK,4,1001,1000,18,18,19,UNICAST
194.9273647117,ENQUEUE_FWD,4,1001,1000,19,17,19,UNICAST
199.5611774077,TX_FWD_ACK,4,1001,1000,19,17,26,UNICAST
199.6208336709,ENQUEUE_FWD,4,1001,1000,26,16,26,UNICAST
199.8567754577,TX_FWD_ACK,4,1001,1000,12,19,19,UNICAST
200.3314521379,TX_SRC,5,1000,1001,1000,20,16777215,BCAST
200.3911017877,RX_FWD_PRE,5,1000,1001,48,20,16777215,BCAST
200.3911017877,ENQUEUE_FWD,5,1000,1001,48,19,16777215,BCAST
200.3911080763,RX_FWD_PRE,5,1000,1001,47,20,16777215,BCAST
200.3911080763,ENQUEUE_FWD,5,1000,1001,47,19,16777215,BCAST
200.3911100429,RX_FWD_PRE,5,1000,1001,41,20,16777215,BCAST
200.3911100429,ENQUEUE_FWD,5,1000,1001,41,19,16777215,BCAST
200.4701652402,TX_FWD_DATA,5,1000,1001,47,19,40,UNICAST
200.5064294003,TX_FWD_ACK,4,1001,1000,26,16,33,UNICAST
200.5298214612,RX_FWD_PRE,5,1000,1001,40,19,40,UNICAST
200.5298214612,ENQUEUE_FWD,5,1000,1001,40,18,40,UNICAST
200.6812479722,TX_FWD_DATA,5,1000,1001,41,19,40,UNICAST
200.7409040936,RX_FWD_PRE,5,1000,1001,40,19,40,UNICAST
201.2463666048,TX_FWD_DATA,5,1000,1001,48,19,41,UNICAST
201.2760482007,TX_FWD_DATA,5,1000,1001,40,18,33,UNICAST
201.3357045954,RX_FWD_PRE,5,1000,1001,33,18,33,UNICAST
201.3357045954,ENQUEUE_FWD,5,1000,1001,33,17,33,UNICAST
201.6228517496,TX_FWD_DATA,5,1000,1001,33,17,26,UNICAST
201.6825081319,RX_FWD_PRE,5,1000,1001,26,17,26,UNICAST
201.6825081319,ENQUEUE_FWD,5,1000,1001,26,16,26,UNICAST
206.4712294013,TX_FWD_DATA,5,1000,1001,26,16,19,UNICAST
206.5308856645,RX_FWD_PRE,5,1000,1001,19,16,19,UNICAST
206.5308856645,ENQUEUE_FWD,5,1000,1001,19,15,19,UNICAST
207.5259774107,TX_FWD_DATA,5,1000,1001,19,15,12,UNICAST
207.5856338045,RX_FWD_PRE,5,1000,1001,12,15,12,UNICAST
207.5856338045,ENQUEUE_FWD,5,1000,1001,12,14,12,UNICAST
207.8215754607,TX_FWD_DATA,5,1000,1001,12,14,1001,UNICAST
207.8812304687,RX_DST_PRE,5,1000,1001,1001,14,1001,UNICAST
207.8812304687,DELIVERED,5,1000,1001,1001,14,1001,UNICAST
207.8812304687,TX_ACK,5,1001,1000,1001,20,16777215,BCAST
207.9408834249,ENQUEUE_FWD,5,1001,1000,4,19,16777215,BCAST
207.9408835994,ENQUEUE_FWD,5,1001,1000,11,19,16777215,BCAST
207.9408854507,ENQUEUE_FWD,5,1001,1000,5,19,16777215,BCAST
207.9408854767,ENQUEUE_FWD,5,1001,1000,12,19,16777215,BCAST
208.1498901387,TX_FWD_ACK,5,1001,1000,5,19,12,UNICAST
208.648274691,TX_FWD_ACK,5,1001,1000,4,19,5,UNICAST
208.7615870437,TX_FWD_ACK,5,1001,1000,11,19,18,UNICAST
208.8212430923,ENQUEUE_FWD,5,1001,1000,18,18,18,UNICAST
208.8325081945,TX_FWD_ACK,5,1001,1000,18,18,19,UNICAST
208.8921647207,ENQUEUE_FWD,5,1001,1000,19,17,19,UNICAST
213.2962521459,TX_SRC,6,1000,1001,1000,20,16777215,BCAST
213.3559017957,RX_FWD_PRE,6,1000,1001,48,20,16777215,BCAST
213.3559017957,ENQUEUE_FWD,6,1000,1001,48,19,16777215,BCAST
213.3559080843,RX_FWD_PRE,6,1000,1001,47,20,16777215,BCAST
213.3559080843,ENQUEUE_FWD,6,1000,1001,47,19,16777215,BCAST
213.3559100509,RX_FWD_PRE,6,1000,1001,41,20,16777215,BCAST
213.3559100509,ENQUEUE_FWD,6,1000,1001,41,19,16777215,BCAST
213.4349652482,TX_FWD_DATA,6,1000,1001,47,19,40,UNICAST
213.4907774117,TX_FWD_ACK,5,1001,1000,19,17,26,UNICAST
213.4946214692,RX_FWD_PRE,6,1000,1001,40,19,40,UNICAST
213.4946214692,ENQUEUE_FWD,6,1000,1001,40,18,40,UNICAST
213.5504336749,ENQUEUE_FWD,5,1001,1000,26,16,26,UNICAST
213.6460479802,TX_FWD_DATA,6,1000,1001,41,19,40,UNICAST
213.7057041016,RX_FWD_PRE,6,1000,1001,40,19,40,UNICAST
213.7863754617,TX_FWD_ACK,5,1001,1000,12,19,19,UNICAST
214.2111666128,TX_FWD_DATA,6,1000,1001,48,19,41,UNICAST
214.2408482087,TX_FWD_DATA,6,1000,1001,40,18,33,UNICAST
214.3005046034,RX_FWD_PRE,6,1000,1001,33,18,33,UNICAST
214.3005046034,ENQUEUE_FWD,6,1000,1001,33,17,33,UNICAST
214.4360294043,TX_FWD_ACK,5,1001,1000,26,16,33,UNICAST
214.4956857866,ENQUEUE_FWD,5,1001,1000,33,15,33,UNICAST
214.5876517576,TX_FWD_DATA,6,1000,1001,33,17,26,UNICAST
214.6473081399,RX_FWD_PRE,6,1000,1001,26,17,26,UNICAST
214.6473081399,ENQUEUE_FWD,6,1000,1001,26,16,26,UNICAST
219.2610521469,TX_SRC,7,1000,1001,1000,20,16777215,BCAST
219.3207017967,RX_FWD_PRE,7,1000,1001,48,20,16777215,BCAST
219.3207017967,ENQUEUE_FWD,7,1000,1001,48,19,16777215,BCAST
219.3207080853,RX_FWD_PRE,7,1000,1001,47,20,16777215,BCAST
219.3207080853,ENQUEUE_FWD,7,1000,1001,47,19,16777215,BCAST
219.3207100519,RX_FWD_PRE,7,1000,1001,41,20,16777215,BCAST
219.3207100519,ENQUEUE_FWD,7,1000,1001,41,19,16777215,BCAST
219.3997652492,TX_FWD_DATA,7,1000,1001,47,19,40,UNICAST
219.4594214702,RX_FWD_PRE,7,1000,1001,40,19,40,UNICAST
219.4594214702,ENQUEUE_FWD,7,1000,1001,40,18,40,UNICAST
219.6108479812,TX_FWD_DATA,7,1000,1001,41,19,40,UNICAST
219.6705041026,RX_FWD_PRE,7,1000,1001,40,19,40,UNICAST
220.1759666138,TX_FWD_DATA,7,1000,1001,48,19,41,UNICAST
220.2056482097,TX_FWD_DATA,7,1000,1001,40,18,33,UNICAST
220.2653046044,RX_FWD_PRE,7,1000,1001,33,18,33,UNICAST
220.2653046044,ENQUEUE_FWD,7,1000,1001,33,17,33,UNICAST
220.4008294053,TX_FWD_DATA,6,1000,1001,26,16,19,UNICAST
220.4604856685,RX_FWD_PRE,6,1000,1001,19,16,19,UNICAST
220.4604856685,ENQUEUE_FWD,6,1000,1001,19,15,19,UNICAST
220.5524517586,TX_FWD_ACK,5,1001,1000,33,15,40,UNICAST
220.6121081533,ENQUEUE_FWD,5,1001,1000,40,14,40,UNICAST
221.4555774147,TX_FWD_DATA,6,1000,1001,19,15,12,UNICAST
221.5152338085,RX_FWD_PRE,6,1000,1001,12,15,12,UNICAST
221.5152338085,ENQUEUE_FWD,6,1000,1001,12,14,12,UNICAST
221.7511754647,TX_FWD_DATA,6,1000,1001,12,14,1001,UNICAST
221.8108304727,RX_DST_PRE,6,1000,1001,1001,14,1001,UNICAST
221.8108304727,DELIVERED,6,1000,1001,1001,14,1001,UNICAST
221.8108304727,TX_ACK,6,1001,1000,1001,20,16777215,BCAST
221.8704834289,ENQUEUE_FWD,6,1001,1000,4,19,16777215,BCAST
221.8704836034,ENQUEUE_FWD,6,1001,1000,11,19,16777215,BCAST
221.8704854547,ENQUEUE_FWD,6,1001,1000,5,19,16777215,BCAST
221.8704854807,ENQUEUE_FWD,6,1001,1000,12,19,16777215,BCAST
222.1146901477,TX_FWD_ACK,6,1001,1000,5,19,12,UNICAST
222.6130747,TX_FWD_ACK,6,1001,1000,4,19,5,UNICAST
222.7263870527,TX_FWD_ACK,6,1001,1000,11,19,18,UNICAST
222.7860431013,ENQUEUE_FWD,6,1001,1000,18,18,18,UNICAST
222.7973082035,TX_FWD_ACK,6,1001,1000,18,18,19,UNICAST
222.8569647297,ENQUEUE_FWD,6,1001,1000,19,17,19,UNICAST
226.1704482107,TX_FWD_ACK,5,1001,1000,40,14,41,UNICAST
226.2301043321,ENQUEUE_FWD,5,1001,1000,41,13,41,UNICAST
226.5172517596,TX_FWD_DATA,7,1000,1001,33,17,26,UNICAST
226.5756479832,TX_FWD_ACK,5,1001,1000,41,13,1000,UNICAST
226.5769081419,RX_FWD_PRE,7,1000,1001,26,17,26,UNICAST
226.5769081419,ENQUEUE_FWD,7,1000,1001,26,16,26,UNICAST
